step   t[s]            hdot[m/s]       h[m]            R[m]            Dt[s]   
  107  2.00933192E+01  2.46330296E-06  3.97677066E-04  2.00052873E-02  2.00000000E-01
  108  2.02933192E+01  2.43487940E-06  3.97184406E-04  2.00176906E-02  2.00000000E-01
  109  2.04933192E+01  2.40704924E-06  3.96697430E-04  2.00299734E-02  2.00000000E-01
  110  2.06933192E+01  2.37979459E-06  3.96216020E-04  2.00421381E-02  2.00000000E-01
  111  2.08933192E+01  2.35309828E-06  3.95740061E-04  2.00541869E-02  2.00000000E-01
  112  2.10933192E+01  2.32694379E-06  3.95269442E-04  2.00661219E-02  2.00000000E-01
  113  2.12933192E+01  2.30131525E-06  3.94804053E-04  2.00779452E-02  2.00000000E-01
  114  2.14933192E+01  2.27619739E-06  3.94343790E-04  2.00896589E-02  2.00000000E-01
  115  2.16933192E+01  2.25157551E-06  3.93888550E-04  2.01012649E-02  2.00000000E-01
  116  2.18933192E+01  2.22743546E-06  3.93438235E-04  2.01127652E-02  2.00000000E-01
  117  2.20933192E+01  2.20376365E-06  3.92992748E-04  2.01241617E-02  2.00000000E-01
  118  2.22933192E+01  2.18054694E-06  3.92551995E-04  2.01354561E-02  2.00000000E-01
  119  2.24933192E+01  2.15777271E-06  3.92115886E-04  2.01466503E-02  2.00000000E-01
  120  2.26933192E+01  2.13542877E-06  3.91684331E-04  2.01577459E-02  2.00000000E-01
  121  2.28933192E+01  2.11350338E-06  3.91257246E-04  2.01687447E-02  2.00000000E-01
  122  2.30933192E+01  2.09198523E-06  3.90834545E-04  2.01796484E-02  2.00000000E-01
  123  2.32933192E+01  2.07086337E-06  3.90416148E-04  2.01904584E-02  2.00000000E-01
  124  2.34933192E+01  2.05012728E-06  3.90001975E-04  2.02011765E-02  2.00000000E-01
  125  2.36933192E+01  2.02976678E-06  3.89591950E-04  2.02118040E-02  2.00000000E-01
  126  2.38933192E+01  2.00977203E-06  3.89185996E-04  2.02223426E-02  2.00000000E-01
  127  2.40933192E+01  1.99013354E-06  3.88784042E-04  2.02327936E-02  2.00000000E-01
  128  2.42933192E+01  1.97084216E-06  3.88386015E-04  2.02431584E-02  2.00000000E-01
  129  2.44933192E+01  1.95188900E-06  3.87991847E-04  2.02534385E-02  2.00000000E-01
  130  2.46933192E+01  1.93326551E-06  3.87601469E-04  2.02636352E-02  2.00000000E-01
  131  2.48933192E+01  1.91496341E-06  3.87214816E-04  2.02737498E-02  2.00000000E-01
  132  2.50933192E+01  1.89697467E-06  3.86831823E-04  2.02837836E-02  2.00000000E-01
  133  2.52933192E+01  1.87929155E-06  3.86452428E-04  2.02937378E-02  2.00000000E-01
  134  2.54933192E+01  1.86190654E-06  3.86076570E-04  2.03036137E-02  2.00000000E-01
  135  2.56933192E+01  1.84481238E-06  3.85704189E-04  2.03134125E-02  2.00000000E-01
  136  2.58933192E+01  1.82800205E-06  3.85335226E-04  2.03231353E-02  2.00000000E-01
  137  2.60933192E+01  1.81146872E-06  3.84969626E-04  2.03327834E-02  2.00000000E-01
  138  2.62933192E+01  1.79520582E-06  3.84607332E-04  2.03423577E-02  2.00000000E-01
  139  2.64933192E+01  1.77920693E-06  3.84248291E-04  2.03518594E-02  2.00000000E-01
  140  2.66933192E+01  1.76346588E-06  3.83892450E-04  2.03612896E-02  2.00000000E-01
  141  2.68933192E+01  1.74797666E-06  3.83539756E-04  2.03706493E-02  2.00000000E-01
  142  2.70933192E+01  1.73273343E-06  3.83190161E-04  2.03799395E-02  2.00000000E-01
  143  2.72933192E+01  1.71773057E-06  3.82843614E-04  2.03891613E-02  2.00000000E-01
  144  2.74933192E+01  1.70296258E-06  3.82500068E-04  2.03983156E-02  2.00000000E-01
  145  2.76933192E+01  1.68842416E-06  3.82159476E-04  2.04074034E-02  2.00000000E-01
  146  2.78933192E+01  1.67411015E-06  3.81821791E-04  2.04164256E-02  2.00000000E-01
  147  2.80933192E+01  1.66001553E-06  3.81486969E-04  2.04253832E-02  2.00000000E-01
